StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RecaptchaAssessmentName,time_consent_form_First Click,time_consent_form_Last Click,time_consent_form_Page Submit,time_consent_form_Click Count,attention_check_1,time_attention_1_First Click,time_attention_1_Last Click,time_attention_1_Page Submit,time_attention_1_Click Count,attention_check_2,time_attention_2_First Click,time_attention_2_Last Click,time_attention_2_Page Submit,time_attention_2_Click Count,time_before_reading_First Click,time_before_reading_Last Click,time_before_reading_Page Submit,time_before_reading_Click Count,time_read_round_First Click,time_read_round_Last Click,time_read_round_Page Submit,time_read_round_Click Count,time_read_precise_First Click,time_read_precise_Last Click,time_read_precise_Page Submit,time_read_precise_Click Count,time_before_recall_First Click,time_before_recall_Last Click,time_before_recall_Page Submit,time_before_recall_Click Count,recall_trap_1,time_recall_trap_First Click,time_recall_trap_Last Click,time_recall_trap_Page Submit,time_recall_trap_Click Count,recall_enroll_1,recall_enroll_2,recall_hondura_1,recall_hondura_2,recall_frick_1,recall_frick_2,time_recall_First Click,time_recall_Last Click,time_recall_Page Submit,time_recall_Click Count,time_before_calc_First Click,time_before_calc_Last Click,time_before_calc_Page Submit,time_before_calc_Click Count,calculate_enroll,calculate_hondura,calculate_frick,time_calculate_First Click,time_calculate_Last Click,time_calculate_Page Submit,time_calculate_Click Count,condition,workerId,assignmentId,hitId,random_verification_code,fail_first_attention,fail_second_attention
7/23/21 15:57,7/23/21 16:01,100,222,TRUE,7/23/21 16:01,R_3qefXS9sXGj5PkU,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/f888a4d070000000,0,0,4.586,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",8.805,29.621,31.238,4,,,,,,0,0,0.89,0,0,0,94.211,0,,,,,0,0,1.434,0,39000000,2.203,2.203,8.861,1,30000,40000,4000,7000,40000,400,4.214,35.317,40.687,3,0,0,1.584,0,80,3000,10,1.679,20.031,26.511,3,round,,,,111079,,
7/23/21 15:57,7/23/21 16:01,100,255,TRUE,7/23/21 16:01,R_1d666ANZDE9AnTn,,,,,anonymous,EN,1,projects/513998946275/assessments/a0d2a4eec8000000,0,0,16.147,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",11.068,28.957,30.026,4,,,,,,0,0,2.394,0,,,,,0,0,85.03,0,0,0,3.848,0,39500000,4.454,4.454,36.544,1,29000,47800,282000,475000,42000,3400,7.748,29.91,34.946,6,0,0,4.199,0,56,250000,8,3.245,21.579,33.115,4,precise,,,,192223,,
7/23/21 15:57,7/23/21 16:01,100,274,TRUE,7/23/21 16:01,R_1JUv6mdJSfoiS4O,,,,,anonymous,EN,0.800000012,projects/513998946275/assessments/ac1864eec8000000,0,0,4.082,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm supposed to work from information in my head and not record or write down any information I see",14.088,17.141,26.953,3,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",12.487,27.321,30.055,6,0,0,1.525,0,,,,,0,0,77.51,0,0,0,3.252,0,42000000,3.535,3.535,31.51,1,21000,49000,225000,450000,39200,2126,43.872,46.909,56.593,2,0,0,1.791,0,45,225000,7,26.281,26.281,31.762,1,precise,,,,114166,1,
7/23/21 15:57,7/23/21 16:01,100,288,TRUE,7/23/21 16:01,R_3iRv4PkJNcoAIgQ,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/750164eec8000000,0,0,3.625,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",23.982,32.622,33.939,4,,,,,,0,0,2.046,0,0,0,126.668,0,,,,,0,0,6.213,0,39000000,2.274,21.892,27.973,2,30000,40000,300000,500000,50000,20000,2.985,42.187,44.634,8,0,0,6.369,0,75,100000,20,3.969,19.198,26.498,3,round,,,,191271,,
7/23/21 15:57,7/23/21 16:02,100,295,TRUE,7/23/21 16:02,R_3MlMYtNa4Y317uq,,,,,anonymous,EN,1,projects/513998946275/assessments/c3df64eec8000000,6.007,25.912,26.983,6,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",17.558,25.725,31.343,4,,,,,,0,0,1.788,0,,,,,2.128,56.833,99.534,8,0,0,6.846,0,3000000,5.813,5.803,26.511,2,23000,41000,282850,400000,10000,3917,2.691,53.168,55.585,14,0,0,4.344,0,50,95,30,3.89,21.491,28.116,5,precise,,,,127198,,
7/23/21 15:58,7/23/21 16:02,100,212,TRUE,7/23/21 16:02,R_2OO3IMPE6zaGFMZ,,,,,anonymous,EN,1,projects/513998946275/assessments/be7564d070000000,0,0,2.853,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",8.527,20.983,23.203,5,,,,,,0,0,0.943,0,1.04,1.872,87.175,4,,,,,2.462,2.462,2.715,1,33000000,9.587,9.587,18.255,1,30000,40000,40000,50000,4000,4,4.002,46.55,50.635,12,0,0,3.245,0,90,50,4,2.5,11.813,15.795,3,round,,,,101823,,
7/23/21 15:57,7/23/21 16:02,100,305,TRUE,7/23/21 16:02,R_RRAfvXs3MQYvDcB,,,,,anonymous,EN,1,projects/513998946275/assessments/4ec364d070000000,21.675,21.675,22.923,1,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",18.629,37.514,41.641,4,,,,,,0,0,2.061,0,45.442,61.342,83.349,2,,,,,0,0,3.853,0,39000000,7.404,23.451,27.19,2,30000,40000,300000,500000,40000,4000,5.381,76.281,78.27,12,0,0,3.087,0,75,200000,10,3.833,29.227,31.7,7,round,,,,162684,,
7/23/21 15:57,7/23/21 16:02,100,285,TRUE,7/23/21 16:02,R_9WZE83sgY6P4aB3,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/dc0ac4eec8000000,0,0,23.632,0,I'm supposed to take my best guesses,7.456,7.456,13.656,1,I'm supposed to take my best guesses,4.846,4.846,12.978,1,0,0,3.109,0,0,0,6.486,0,,,,,0,0,3.021,0,1000000,3.22,69.678,71.769,15,100000,100000,10000,10000000,10000000,100000000,2.201,63.975,70.447,9,0,0,4.977,0,78,100000,80,4.999,48.206,54.285,8,round,,,,195569,1,1
7/23/21 15:57,7/23/21 16:02,100,315,TRUE,7/23/21 16:02,R_81u9LqOKbWCX4Xf,,,,,anonymous,EN,1,projects/513998946275/assessments/0473c4d070000000,0,0,5.496,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",17.885,25.09,28.098,4,,,,,,0,0,2.714,0,0,0,148.653,0,,,,,0,0,7.012,0,3610000,6.319,6.319,32.584,1,30000,40000,300000,500000,40000,4000,3.613,29.017,39.438,10,0,0,4.685,0,75,200000,10,4.771,27.526,38.329,3,round,,,,161207,,
7/23/21 15:58,7/23/21 16:02,100,262,TRUE,7/23/21 16:02,R_3I6u78WywYO7N0E,,,,,anonymous,EN,1,projects/513998946275/assessments/02e7e4eec8000000,0,0,2.5,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",7.485,15.742,16.204,5,,,,,,0,0,1.196,0,,,,,0,0,89.175,0,0,0,4.283,0,39000000,3.277,3.277,13.932,1,28000,42000,200000,400000,40000,3000,2.343,73.777,77.897,10,0,0,4.823,0,65,200000,8,11.711,31.551,37.724,4,precise,,,,184430,,
7/23/21 15:58,7/23/21 16:02,100,240,TRUE,7/23/21 16:02,R_3nMJJTBg812i2RD,,,,,anonymous,EN,1,projects/513998946275/assessments/ef5ea4d070000000,0,0,16.288,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",16.888,21.95,26.681,4,,,,,,0,0,2.251,0,0,0,97.113,0,,,,,0,0,3.937,0,39400000,21.539,21.539,31.567,1,30000,40000,300000,500000,40000,4000,3.801,21.273,26.296,3,0,0,8.097,0,75,200000,10,3.892,15.929,18.107,3,round,,,,117972,,
7/23/21 15:59,7/23/21 16:02,100,195,TRUE,7/23/21 16:02,R_268R1dm4Ymhh5Pu,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/7c4fe4eec8000000,0,0,12.361,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",9.507,16.464,24.772,4,,,,,,0,0,1.554,0,,,,,0,0,37.618,0,0,0,2.721,0,350000,3.425,3.425,25.327,1,45000,28000,250000,350000,10000,3750,3.711,42.665,52.295,3,0,0,2.629,0,75,100000,37.5,1.878,14.71,23.944,4,precise,,,,100742,,
7/23/21 15:59,7/23/21 16:02,100,189,TRUE,7/23/21 16:02,R_1LzA6IZJet0YgTF,,,,,anonymous,EN,1,projects/513998946275/assessments/f32364eec8000000,0,0,9.694,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",9.978,21.41,27.661,6,,,,,,0,0,1.167,0,,,,,0,0,34.198,0,0,0,2.762,0,3000000,9.663,9.663,16.53,1,240000,41000,43000,58000,30,20,16.178,51.498,53.609,6,2.135,3.927,5.167,2,20,30000,15,3.767,22.871,26.601,3,precise,,,,193139,,
